Sample;Time;cDC1;Macrophages;cDC2;pDCs;MDP;Monocytes;HSC;T cells;DCPs;B cells;NK cells, Eosinophils, granulocytes, neutrophils;Others 
US;Before Thawing;0;0;0;0;0;0;0;0,994;0;0;0;0,006
Pre-sort;Before Thawing;0,0099;0,0546;0,02208;0,0195;0,00022;0,0841;0,00066;0,0906;0,21;0,0723;0,157;0,27904
Sorted;Before Thawing;0,0024;0;0;0,0000998;0;0,00025;0,0047;0,665;0,303;0,00055;0,0016;0,0224002
After thawing;Day 0;0,002;0,034;0,0164;0,0008;0,0028;0,0692;0;0,0512;0,615;0,0012;0,01;0,1974
US;Day 0;0;0;0;0;0;0;0;0,997;0;0;0;0,003
US;Day 1;0;0;0;0;0;0;0;0,996;0,0043;0;0;-0,0003
cDC1 no change;Day 1;0,0057;0,1455;0,0046;0,0011;0;0,0732;0;0,0378;0,0709;0,0034;0,0011;0,6567
cDC1 change eveyday;Day 1;0,0066;0,1458;0,0041;0,001;0;0,0818;0;0,0493;0,0838;0,002;0,0056;0,62
HSC no change;Day 1;0,0024;0,0742;0,00079;0,00079;0;0,094;0;0,0521;0,0711;0,00079;0,0032;0,70063
HSC change 1 of 2;Day 1;0,005;0,0818;0;0,0013;0;0,137;0;0,0491;0,0957;0,00063;0,0038;0,62567
US;Day 2;0;0;0;0;0;0;0;0,997;0;0;0;0,003
cDC1 no change;Day 2;0;0,3416;0,0254;0,00093;0,00031;0,0394;0;0,15;0,212;0,00062;0,0065;0,22324
cDC1 change everyday;Day 2;0;0,435;0,0719;0;0,00095;0,0464;0;0,0851;0,186;0,0019;0,0066;0,16615
cDC1 change 1 of 2 ;Day 2;0;0,341;0,0291;0;0,00036;0,0612;0;0,168;0,245;0,0015;0,0102;0,14364
HSC change everyday;Day 2;0;0,315;0,0623;0;0;0,0597;0;0,123;0,244;0;0,0053;0,1907
HSC no change;Day 2;0;0,1715;0,01175;0;0;0,0909;0;0,198;0,271;0,0009;0,0036;0,25235
HSC change 1 of 2 ;Day 2;0;0,1823;0,01716;0;0,0017;0,0675;0,00043;0,197;0,327;0,0013;0,0043;0,20131
US;Day 3;0;0;0;0;0;0;0;0,992;0,0012;0;0;0,0068
cDC1 no change;Day 3;0;0,0956;0,0065;0;0,0012;0,111;0;0,285;0,32;0,0023;0,0315;0,1469
cDC1 change everyday;Day 3;0;0,131;0,01;0;0,0038;0,129;0;0,128;0,401;0,005;0,0212;0,171
cDC1 change 1 of 2 ;Day 3;0;0,08854;0,0078;0,00034;0,001;0,129;0;0,276;0,354;0,0017;0,0424;0,09922
HSC change everyday;Day 3;0;0,17;0,0082;0;0,0082;0,16;0;0,181;0,281;0,0035;0,0258;0,1623
HSC no change;Day 3;0;0,043;0,0064;0;0,0038;0,164;0;0,301;0,327;0,0045;0,0136;0,1367
HSC change 1 of 2;Day 3;0;0,0554;0,0045;0,00032;0,0026;0,148;0;0,316;0,354;0,0023;0,0187;0,09818
US;Day 4;0;0;0;0;0;0;0;0,983;0;0;0;0,017
cDC1 no change;Day 4;0;0,0325;0,0104;0,00035;0,0014;0,163;0,00012;0,432;0,153;0,00012;0,112;0,09511
cDC1 change everyday;Day 4;0;0,0537;0,0105;0,00046;0,00046;0,171;0;0,332;0,181;0;0,144;0,10688
cDC1 change 1 of 2 ;Day 4;0;0,0337;0,0091;0,00022;0,0026;0,177;0;0,357;0,181;0;0,168;0,07138
HSC change everyday;Day 4;0;0,0376;0,0041;0,00076;0,0011;0,136;0;0,353;0,18;0,00038;0,158;0,12906
HSC no change;Day 4;0;0,01408;0,0037952;0,00029;0,00067;0,151;0;0,505;0,145;0,0000952;0,0688;0,1112696
HSC change 1 of 2;Day 4;0;0,0185;0,00266;0,0000779;0,0018;0,154;0;0,401;0,168;0;0,162;0,0919621
US;Day 5;0;0;0;0;0;0;0;0,986;0;0,0014;0;0,0126
cDC1 no change;Day 5;0;0,0535;0,0052972;0,0012;0,0039;0,109;0;0,336;0,0482;0,0028;0,342;0,0981028
cDC1 change everyday;Day 5;0;0,1098;0,0204;0,0013;0,0057;0,0917;0;0,205;0,0738;0,0116;0,32;0,1607
cDC1 change 1 of 2;Day 5;0;0,0753;0,0138;0,00043;0,0037;0,0975;0;0,206;0,0392;0,0048;0,457;0,10227
HSC change eveyday;Day 5;0;0,093;0,0174;0,00059;0,0024;0,0901;0;0,231;0,0676;0,01;0,368;0,11991
HSC change everyday;Day 5;0;0,04308;0,0034;0,002;0,0049;0,131;0;0,352;0,0431;0,0042;0,285;0,13132
HSC change 1 of 2 ;Day 5;0;0,0529;0,0134;0,0011;0,0032;0,126;0;0,186;0,0432;0,0055;0,477;0,0917
US;Day 6;0;0;0;0;0;0;0;0,995;0;0;0;0,005
cDC1 no change;Day 6;0;0,0222;0,006;0,00031;0,00077;0,0653;0;0,57;0,0146;0;0,294;0,02682
cDC1 change everyday;Day 6;0;0,0444;0,0106;0,00063;0,0013;0,0591;0;0,396;0,0247;0,00031;0,399;0,06396
cDC1 change 1 of 2;Day 6;0;0,03612;0,0076;0,00017;0,00092;0,0664;0;0,433;0,0134;0,0000578;0,425;0,0173322
HSC change everyday;Day 6;0;0,0234;0,0119;0;0,00099;0,087;0;0,371;0,0249;0,00025;0,451;0,02956
HSC no change;Day 6;0;0,007;0,0011;0;0,00051;0,0541;0;0,77;0,0179;0;0,127;0,02239
HSC change 1 of 2;Day 6;0;0,03032;0,0058;0,0000577;0,00087;0,0771;0;0,395;0,0145;0,0021;0,458;0,0162523
